WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,X,Y,source
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,1.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,5.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,7.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,11.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,13.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,13.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,13.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,13.0,1.0,real
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,13.0,1.0,real
