WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010
-80,-85,-82,-66,-75,-70,-64,-84,-85,-55
-84,-87,-85,-63,-79,-64,-61,-82,-82,-53
-80,-92,-87,-66,-75,-69,-68,-86,-83,-51
-84,-86,-80,-68,-77,-70,-65,-85,-82,-56
-95,-89,-92,-54,-85,-57,-51,-88,-94,-44
-85,-80,-85,-57,-77,-64,-55,-84,-94,-52
-83,-87,-83,-65,-77,-67,-64,-83,-82,-54
-84,-84,-80,-66,-77,-70,-63,-85,-84,-54
-84,-79,-83,-59,-77,-65,-57,-82,-91,-54
-80,-90,-83,-64,-79,-63,-67,-83,-80,-54
-80,-91,-88,-62,-79,-60,-63,-83,-82,-51
-78,-91,-84,-69,-76,-65,-67,-84,-78,-53
-89,-83,-80,-58,-80,-65,-54,-85,-91,-51
-80,-92,-89,-65,-74,-65,-61,-88,-90,-49
-85,-85,-78,-70,-77,-71,-64,-86,-82,-56
-80,-84,-82,-64,-76,-64,-60,-81,-84,-55
-88,-83,-84,-58,-81,-60,-55,-83,-87,-53
-82,-84,-84,-64,-78,-66,-64,-83,-82,-53
-79,-81,-80,-66,-74,-67,-63,-82,-84,-58
-83,-88,-83,-65,-80,-65,-65,-82,-79,-54
-87,-86,-76,-66,-79,-70,-62,-86,-84,-56
-81,-91,-90,-64,-76,-64,-61,-87,-89,-49
-78,-100,-90,-67,-79,-59,-67,-86,-79,-47
-92,-87,-77,-60,-81,-68,-55,-88,-91,-51
-81,-93,-87,-66,-79,-64,-68,-84,-79,-51
-89,-80,-81,-58,-80,-64,-55,-85,-92,-53
-81,-88,-87,-65,-75,-67,-63,-86,-87,-52
-78,-86,-83,-66,-76,-63,-64,-81,-80,-56
-79,-93,-85,-66,-76,-64,-61,-85,-85,-51
-83,-95,-87,-68,-79,-65,-67,-88,-81,-49
-87,-83,-77,-61,-78,-69,-57,-86,-91,-53
-80,-90,-80,-70,-75,-67,-64,-86,-80,-55
-87,-85,-81,-67,-79,-70,-64,-86,-83,-53
-86,-86,-74,-70,-77,-72,-62,-89,-85,-57
-83,-85,-82,-65,-77,-66,-61,-84,-85,-56
-93,-86,-89,-58,-82,-62,-53,-87,-91,-47
-83,-83,-81,-67,-75,-66,-59,-86,-84,-56
-87,-83,-88,-58,-78,-63,-57,-86,-93,-52
-87,-96,-91,-64,-80,-65,-64,-89,-84,-45
-77,-89,-85,-65,-77,-62,-67,-81,-78,-54
-81,-85,-77,-66,-77,-68,-63,-82,-82,-58
-77,-90,-85,-65,-79,-61,-70,-80,-76,-55
-78,-96,-85,-69,-74,-67,-64,-89,-84,-50
-79,-83,-83,-65,-74,-67,-63,-82,-85,-57
-81,-82,-82,-65,-74,-68,-62,-85,-86,-56
-82,-84,-80,-63,-77,-66,-61,-81,-81,-55
-89,-85,-78,-66,-79,-70,-61,-87,-85,-54
-88,-82,-83,-57,-80,-62,-55,-83,-89,-51
-84,-90,-80,-70,-76,-72,-65,-90,-85,-54
-81,-90,-79,-69,-74,-71,-65,-87,-84,-56
-88,-82,-81,-57,-79,-65,-54,-84,-91,-51
-82,-84,-86,-61,-78,-62,-60,-82,-87,-54
-82,-89,-83,-63,-80,-59,-61,-80,-78,-54
-83,-83,-82,-59,-79,-62,-60,-80,-85,-54
-84,-86,-77,-67,-76,-71,-63,-88,-87,-55
-79,-91,-86,-66,-75,-69,-66,-86,-87,-52
-83,-84,-86,-60,-79,-60,-59,-81,-86,-54
-86,-90,-79,-69,-75,-73,-62,-92,-89,-52
-78,-89,-84,-67,-77,-63,-65,-82,-79,-55
-85,-80,-84,-60,-77,-65,-59,-84,-89,-54
-85,-84,-83,-62,-77,-68,-60,-85,-89,-54
-81,-90,-82,-64,-80,-62,-66,-82,-79,-54
-85,-90,-87,-58,-82,-59,-61,-83,-86,-50
-80,-97,-88,-66,-81,-60,-70,-86,-78,-50
-90,-85,-83,-57,-80,-64,-53,-85,-91,-48
-78,-91,-87,-66,-75,-64,-63,-85,-84,-52
-81,-96,-86,-68,-79,-62,-67,-88,-79,-50
-84,-87,-79,-64,-79,-67,-64,-85,-84,-55
-86,-82,-82,-61,-79,-62,-57,-82,-86,-56
-81,-86,-80,-66,-78,-63,-63,-81,-78,-56
-78,-97,-90,-66,-75,-62,-64,-88,-84,-48
-89,-83,-78,-61,-80,-67,-57,-86,-90,-55
-85,-90,-90,-59,-81,-58,-59,-85,-88,-49
-83,-89,-79,-69,-76,-69,-62,-88,-84,-55
-81,-92,-81,-69,-75,-70,-64,-89,-85,-54
-81,-83,-81,-66,-76,-67,-65,-83,-81,-57
-84,-89,-84,-62,-82,-60,-63,-80,-78,-53
-86,-86,-82,-62,-79,-67,-61,-85,-86,-51
-82,-84,-76,-67,-74,-71,-63,-86,-85,-57
-87,-89,-83,-64,-79,-68,-60,-86,-85,-50
-86,-87,-84,-64,-78,-67,-61,-85,-84,-51
-87,-90,-84,-67,-80,-69,-65,-88,-82,-51
-81,-85,-78,-68,-76,-66,-64,-83,-78,-58
-85,-79,-78,-63,-78,-67,-60,-82,-86,-59
-79,-91,-84,-68,-74,-66,-64,-85,-81,-54
-85,-86,-86,-63,-76,-69,-62,-87,-89,-52
-79,-86,-81,-67,-78,-63,-69,-80,-75,-58
-84,-80,-77,-62,-75,-71,-59,-85,-91,-55
-81,-80,-77,-68,-75,-69,-63,-82,-81,-59
-80,-89,-84,-66,-79,-64,-69,-83,-79,-54
-85,-81,-78,-63,-78,-68,-60,-83,-85,-56
-85,-86,-88,-61,-79,-63,-62,-85,-85,-51
-86,-86,-80,-61,-79,-66,-60,-86,-89,-52
-83,-82,-80,-63,-78,-64,-60,-81,-82,-58
-82,-84,-84,-63,-77,-62,-59,-83,-84,-54
-82,-85,-80,-63,-79,-65,-65,-82,-83,-55
-84,-87,-85,-64,-78,-63,-61,-88,-86,-52
-86,-88,-87,-58,-82,-59,-59,-83,-86,-50
-83,-82,-75,-67,-75,-72,-62,-86,-86,-57
-84,-89,-87,-60,-80,-61,-59,-85,-88,-50
-86,-84,-77,-63,-79,-68,-60,-85,-88,-55
-83,-101,-89,-67,-81,-61,-68,-90,-80,-47
-77,-93,-85,-69,-75,-64,-65,-85,-79,-52
-80,-87,-83,-66,-75,-67,-64,-84,-82,-53
-80,-87,-86,-63,-80,-61,-66,-81,-81,-55
-84,-85,-80,-66,-76,-70,-62,-86,-85,-54
-77,-86,-82,-65,-75,-67,-65,-82,-82,-55
-83,-89,-82,-65,-77,-68,-64,-84,-82,-54
-85,-82,-86,-62,-76,-63,-57,-86,-89,-54
-79,-94,-87,-68,-72,-66,-62,-90,-85,-50
-84,-82,-82,-63,-78,-63,-59,-81,-82,-56
-78,-89,-86,-66,-74,-65,-62,-85,-85,-52
-83,-87,-87,-60,-81,-59,-62,-81,-84,-53
-81,-82,-78,-64,-77,-67,-64,-81,-83,-58
-93,-85,-86,-55,-83,-60,-50,-86,-91,-47
-83,-90,-84,-64,-81,-60,-66,-81,-75,-54
-85,-85,-79,-67,-77,-68,-61,-86,-84,-56
-81,-83,-82,-65,-77,-65,-62,-81,-81,-57
-85,-83,-88,-58,-80,-61,-59,-84,-90,-52
-82,-83,-77,-68,-76,-69,-63,-84,-81,-59
-83,-85,-83,-64,-78,-64,-63,-82,-81,-55
-85,-85,-81,-68,-77,-72,-65,-87,-85,-54
-81,-91,-83,-67,-79,-65,-70,-85,-80,-54
-83,-82,-82,-61,-78,-65,-62,-83,-87,-55
-77,-89,-84,-68,-73,-65,-62,-85,-82,-53
-84,-83,-80,-63,-77,-66,-59,-84,-87,-55
-82,-90,-85,-64,-81,-63,-68,-83,-79,-53
-84,-85,-85,-65,-77,-68,-63,-85,-84,-53
-78,-97,-91,-65,-75,-63,-63,-88,-87,-47
-80,-88,-79,-71,-75,-67,-65,-85,-78,-56
-88,-84,-78,-62,-80,-66,-59,-84,-85,-55
-82,-83,-79,-64,-75,-71,-62,-84,-87,-55
-85,-84,-84,-64,-76,-64,-57,-86,-87,-53
-84,-86,-78,-65,-79,-66,-64,-84,-81,-56
-82,-87,-82,-66,-78,-68,-66,-84,-81,-56
-82,-94,-88,-66,-77,-67,-64,-86,-83,-49
-87,-84,-75,-63,-79,-68,-58,-85,-86,-55
-83,-86,-76,-70,-76,-71,-64,-87,-83,-58
-80,-82,-80,-64,-74,-69,-63,-82,-85,-56
-86,-90,-78,-70,-77,-71,-64,-90,-85,-55
-83,-85,-81,-64,-78,-67,-62,-83,-84,-57
-83,-89,-80,-67,-77,-70,-67,-87,-84,-55
-81,-88,-88,-60,-79,-61,-65,-84,-86,-50
-82,-91,-91,-65,-76,-66,-63,-88,-88,-49
-85,-88,-83,-62,-82,-61,-64,-81,-78,-53
-81,-91,-85,-62,-83,-58,-67,-79,-76,-53
-80,-78,-81,-63,-73,-68,-61,-82,-87,-58
-79,-95,-84,-70,-74,-66,-61,-88,-84,-50
-82,-91,-90,-61,-80,-58,-64,-84,-84,-50
-81,-91,-84,-63,-79,-64,-67,-85,-83,-52
