WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,LONGITUDE,LATITUDE
-54,-94,-60,-97,-60,-100,-71,-96,-97,-71,12.596934,9.37769
-53,-95,-58,-96,-64,-94,-70,-94,-93,-72,11.546078,8.916157
-56,-94,-58,-95,-64,-93,-73,-96,-91,-73,10.771829,9.959242
-44,-104,-63,-92,-61,-100,-69,-101,-97,-61,11.109782,10.35571
-54,-101,-60,-87,-66,-101,-71,-91,-91,-70,7.7185726,8.156986
-56,-98,-64,-90,-66,-98,-69,-89,-90,-72,9.672258,7.948018
-53,-99,-64,-95,-65,-99,-67,-91,-91,-72,11.478387,7.936083
-53,-101,-60,-86,-68,-98,-70,-99,-87,-68,8.090286,9.71116
-54,-101,-61,-87,-66,-94,-68,-92,-91,-70,8.659834,8.233389
-51,-90,-56,-93,-59,-88,-72,-104,-99,-65,12.818991,11.726654
-48,-105,-57,-98,-64,-107,-68,-88,-94,-73,9.944589,6.429222
-42,-102,-51,-95,-53,-94,-68,-110,-106,-63,12.700067,11.579657
-50,-94,-57,-97,-60,-88,-72,-101,-96,-68,12.575932,11.295203
-50,-97,-64,-82,-61,-91,-70,-103,-99,-58,10.297849,11.397156
-54,-97,-66,-89,-66,-92,-67,-91,-92,-68,10.843381,8.38228
-50,-94,-65,-84,-64,-86,-69,-99,-95,-59,10.9330015,10.862508
-56,-96,-62,-87,-66,-97,-72,-99,-89,-67,9.28915,10.259217
-47,-103,-54,-94,-63,-104,-70,-99,-92,-68,9.45245,9.117191
-50,-96,-57,-90,-60,-87,-71,-103,-98,-65,11.140593,11.433838
-56,-91,-64,-83,-66,-89,-73,-93,-94,-64,9.369062,9.967225
-56,-92,-60,-89,-64,-95,-69,-95,-93,-69,10.948341,8.965797
-49,-98,-53,-102,-60,-98,-72,-101,-93,-74,12.064819,10.5842905
-55,-98,-63,-87,-62,-95,-68,-97,-97,-67,10.602709,9.208517
-60,-85,-58,-89,-61,-89,-74,-101,-97,-67,11.893128,11.094078
-52,-96,-66,-86,-64,-91,-70,-93,-96,-63,10.370642,9.527973
-51,-97,-61,-87,-67,-91,-70,-92,-92,-66,9.209085,8.94214
-57,-95,-68,-86,-69,-91,-70,-94,-87,-68,9.823464,9.788973
-50,-104,-62,-84,-67,-97,-70,-102,-88,-63,7.823732,10.550582
-50,-100,-54,-96,-58,-94,-73,-110,-96,-69,11.47165,12.42048
-54,-94,-63,-89,-66,-92,-69,-90,-93,-68,10.575168,8.372593
-60,-87,-56,-93,-60,-94,-75,-101,-97,-71,11.927472,10.91442
-45,-101,-53,-96,-57,-92,-71,-108,-100,-66,11.860355,11.9948225
-43,-97,-47,-98,-57,-95,-71,-106,-99,-66,12.002244,11.1393585
-42,-99,-46,-106,-54,-99,-72,-108,-101,-70,13.583297,11.528761
-48,-103,-53,-99,-64,-105,-69,-94,-90,-73,9.983513,7.771425
-55,-99,-61,-90,-63,-96,-72,-98,-93,-71,9.661072,10.289338
-57,-96,-64,-87,-66,-91,-71,-92,-90,-70,9.240272,9.377158
-40,-98,-46,-103,-53,-97,-70,-108,-105,-67,13.977953,11.306888
-42,-105,-65,-90,-62,-96,-66,-99,-98,-59,11.357841,9.760852
-54,-94,-59,-88,-60,-94,-68,-101,-98,-65,11.593223,9.845631
-58,-91,-62,-83,-67,-87,-73,-92,-91,-67,8.638593,9.736715
-53,-95,-64,-93,-63,-93,-68,-93,-95,-67,12.234762,8.751267
-54,-97,-64,-89,-64,-90,-71,-95,-93,-68,10.234513,10.117295
-50,-92,-55,-86,-64,-92,-73,-95,-97,-63,9.292287,9.632082
-49,-102,-58,-100,-61,-102,-69,-93,-95,-73,11.5536175,8.2595
-55,-104,-65,-87,-69,-95,-68,-94,-86,-71,8.260193,8.801571
-54,-96,-59,-92,-63,-98,-70,-104,-92,-69,11.341215,10.6933775
-48,-102,-54,-94,-63,-108,-71,-89,-96,-71,8.805496,7.0932527
-51,-107,-65,-90,-67,-99,-67,-91,-89,-70,8.73379,7.9037614
-57,-97,-66,-83,-65,-93,-73,-97,-92,-66,8.62365,10.71588
-55,-97,-59,-87,-65,-95,-74,-99,-90,-68,8.409593,10.7088995
-47,-90,-53,-94,-58,-89,-69,-105,-101,-63,13.692661,11.125816
-48,-98,-58,-98,-64,-94,-69,-96,-91,-70,11.802397,9.441679
-60,-88,-59,-95,-62,-98,-72,-98,-92,-73,12.423539,9.881681
-52,-97,-54,-97,-59,-98,-72,-108,-96,-71,12.097197,11.640242
-49,-101,-54,-96,-61,-94,-72,-104,-94,-71,10.615387,11.267965
-46,-99,-52,-98,-62,-95,-70,-94,-97,-71,11.03483,8.65769
-50,-93,-52,-96,-59,-91,-74,-101,-98,-69,11.582238,11.159478
-53,-100,-65,-80,-69,-94,-74,-92,-89,-62,6.2730556,9.688378
-50,-107,-58,-81,-63,-101,-70,-95,-96,-64,6.115707,8.528805
-51,-109,-64,-88,-65,-102,-68,-90,-92,-70,7.7210145,7.688433
-54,-99,-66,-85,-63,-92,-68,-95,-97,-64,10.21678,9.163498
-50,-99,-55,-92,-60,-100,-74,-104,-95,-67,9.792537,11.353049
-56,-100,-64,-92,-68,-95,-69,-91,-86,-74,9.558066,8.498435
-47,-107,-67,-88,-65,-97,-67,-100,-91,-62,9.766607,10.049395
-56,-95,-56,-95,-60,-96,-73,-105,-95,-71,11.577601,11.24906
-58,-95,-65,-84,-66,-91,-71,-93,-91,-67,9.027973,9.43137
-58,-93,-65,-85,-67,-89,-73,-97,-89,-68,9.407026,10.949469
-53,-100,-55,-91,-63,-100,-72,-100,-93,-71,9.076753,9.862012
-47,-107,-54,-98,-63,-106,-70,-89,-94,-74,8.859844,7.0212274
-54,-96,-60,-96,-63,-97,-69,-99,-93,-72,12.276843,9.6504345
-50,-101,-57,-93,-64,-105,-71,-90,-93,-70,8.936368,7.6470566
-50,-100,-63,-83,-64,-93,-69,-109,-92,-59,9.925049,11.911298
-46,-104,-59,-93,-61,-104,-71,-94,-97,-65,9.593939,8.742682
-56,-98,-64,-81,-69,-95,-72,-95,-88,-66,7.259478,9.72717
-51,-98,-62,-93,-65,-90,-67,-95,-93,-68,11.6430855,8.965673
-54,-101,-69,-89,-69,-93,-67,-90,-87,-69,9.857247,8.329234
-60,-93,-65,-91,-63,-95,-71,-98,-92,-71,11.5869255,10.230877
-50,-100,-57,-83,-64,-94,-70,-95,-97,-63,7.9469905,8.816693
-51,-94,-53,-89,-64,-92,-70,-99,-93,-66,9.931415,9.603343
-40,-110,-66,-92,-60,-104,-64,-105,-98,-55,12.029965,9.819975
-50,-90,-55,-96,-59,-89,-72,-101,-100,-67,13.224115,11.041074
-53,-92,-58,-92,-60,-85,-74,-105,-97,-66,11.904506,12.569387
-54,-97,-55,-96,-58,-95,-74,-107,-97,-70,11.564117,11.924252
-49,-95,-55,-92,-60,-94,-68,-103,-96,-65,11.931188,10.289286
-50,-101,-59,-86,-65,-97,-70,-92,-94,-64,8.126071,8.212801
-50,-101,-64,-87,-62,-95,-68,-95,-98,-63,10.232194,9.026682
-60,-93,-63,-82,-66,-93,-76,-96,-90,-67,7.696097,10.79108
-48,-95,-58,-88,-64,-88,-71,-94,-97,-62,10.045942,9.487701
-57,-92,-59,-86,-66,-93,-75,-92,-92,-69,8.395442,9.596657
-47,-103,-59,-89,-64,-88,-69,-99,-93,-66,9.4172535,10.434868
-57,-98,-65,-81,-67,-95,-74,-92,-90,-66,6.885125,9.677534
-53,-101,-61,-89,-60,-92,-69,-107,-96,-66,10.976171,11.522036
-46,-102,-55,-103,-62,-102,-68,-94,-94,-74,12.128611,8.149419
-52,-102,-59,-90,-64,-92,-70,-110,-89,-68,10.216565,12.049154
-57,-101,-63,-86,-66,-96,-70,-99,-89,-70,8.634376,9.932154
-45,-97,-51,-101,-58,-96,-71,-102,-100,-69,12.911132,10.412336
-53,-92,-60,-89,-65,-87,-72,-96,-93,-67,10.558823,10.440546
-57,-96,-61,-92,-68,-99,-70,-89,-86,-73,9.435567,7.69626
-40,-109,-48,-90,-60,-105,-67,-96,-103,-60,8.206189,6.815613
-50,-104,-64,-85,-66,-96,-67,-107,-88,-62,9.480083,11.117942
-43,-107,-63,-95,-63,-103,-68,-93,-95,-64,10.475937,8.349205
-59,-94,-64,-90,-66,-91,-73,-96,-90,-72,10.228928,10.4336405
-50,-104,-64,-90,-65,-98,-67,-101,-91,-65,10.389059,9.717874
-40,-110,-63,-92,-62,-104,-69,-93,-97,-61,9.268481,8.6633
-49,-96,-59,-90,-63,-90,-66,-103,-96,-62,12.25548,9.976537
-54,-92,-56,-95,-62,-94,-72,-97,-96,-72,11.753595,9.845721
-56,-97,-68,-85,-64,-93,-73,-97,-94,-64,9.625896,10.760128
-52,-95,-60,-90,-61,-90,-70,-104,-96,-66,11.759415,11.468436
-57,-92,-57,-92,-60,-97,-74,-104,-95,-70,11.231445,11.466872
-53,-100,-66,-91,-66,-96,-68,-95,-90,-68,10.704873,9.114813
-57,-94,-66,-90,-65,-92,-73,-93,-91,-69,10.392194,10.076271
-54,-102,-64,-89,-63,-98,-65,-106,-91,-69,11.333739,10.500204
-57,-101,-67,-82,-67,-96,-72,-90,-91,-68,7.15156,8.921143
-51,-102,-54,-86,-65,-105,-74,-92,-93,-69,6.1655135,8.376973
-50,-106,-60,-92,-62,-104,-66,-95,-94,-70,9.835446,7.8914967
-55,-103,-68,-83,-69,-94,-68,-95,-86,-67,8.030858,9.344654
-56,-100,-66,-83,-65,-95,-73,-96,-91,-66,7.865846,10.436588
-51,-96,-54,-96,-64,-97,-71,-93,-93,-75,10.508129,8.814561
-42,-108,-65,-86,-64,-98,-68,-105,-93,-57,9.435738,11.233914
-58,-88,-60,-90,-65,-89,-72,-92,-93,-70,11.013423,9.2701435
-54,-99,-64,-86,-69,-92,-71,-89,-89,-68,8.087048,8.55458
