WAP006,WAP008,WAP010,WAP011,WAP012,WAP015,WAP016,WAP017,WAP021,WAP022,WAP023,WAP027,WAP028,WAP029,WAP030,WAP035,WAP036,WAP037,WAP038,WAP045,WAP046,WAP049,WAP050,WAP055,WAP056,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP086,WAP088,WAP089,WAP090,WAP091,WAP101,WAP102,WAP103,WAP104,WAP105,WAP106,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP119,WAP120,WAP121,WAP123,WAP124,WAP125,WAP126,WAP127,WAP129,WAP130,WAP131,WAP132,WAP133,WAP134,WAP135,WAP136,WAP137,WAP140,WAP141,WAP142,WAP143,WAP144,WAP145,WAP146,WAP147,WAP148,WAP149,WAP150,WAP151,WAP155,WAP156,WAP164,WAP165,WAP166,WAP167,WAP168,WAP169,WAP170,WAP171,WAP172,WAP173,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP182,WAP183,WAP184,WAP185,WAP186,WAP187,WAP188,WAP189,WAP191,WAP192,WAP198,WAP206,WAP222,WAP223,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP268,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP289,WAP294,WAP295,WAP308,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP343,WAP344,WAP345,WAP350,WAP351,WAP362,WAP364,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP373,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP401,WAP404,WAP405,WAP407,WAP413,WAP415,WAP418,WAP432,WAP446,WAP449,WAP454,WAP468,WAP478,WAP489,WAP490,WAP503,X,Y,D_score,zone_x,zone_y,zone_id
-85,-83,-65,-65,-80,-64,-67,-85,-73,-60,-88,-83,-68,-71,-71,-72,-66,-61,-60,-66,-83,-75,-81,-60,-65,-73,-86,-84,-94,-84,-91,-76,-94,-89,-69,-74,-72,-80,-80,-88,-68,-75,-76,-81,-72,-91,-72,-73,-85,-88,-79,-75,-89,-66,-76,-74,-61,-81,-83,-92,-69,-74,-65,-62,-85,-82,-81,-70,-67,-82,-70,-79,-78,-71,-94,-88,-65,-83,-69,-91,-90,-59,-82,-78,-82,-71,-73,-68,-73,-69,-86,-70,-66,-61,-72,-78,-76,-85,-90,-75,-72,-79,-80,-76,-73,-71,-84,-87,-64,-62,-67,-70,-72,-72,-68,-90,-89,-85,-91,-79,-80,-74,-86,-74,-62,-67,-92,-91,-83,-86,-60,-87,-61,-67,-60,-79,-69,-86,-72,-74,-78,-66,-61,-85,-61,-83,-71,-79,-79,-90,-79,-85,-93,-71,-86,-59,-83,-68,-61,-84,-61,-89,-92,-71,-63,-72,-86,-76,-81,-80,-71,-64,-62,-84,-72,-85,-81,-83,-78,-64,-82,-66,-79,-81,-69,-65,-73,-70,-89,-83,-5634.724,3446634.8,6.990299e-29,-2818,9,-28171
-82,-81,-69,-69,-78,-68,-70,-82,-75,-66,-83,-81,-70,-73,-73,-72,-70,-67,-66,-69,-81,-74,-79,-66,-69,-73,-82,-82,-87,-82,-86,-75,-87,-84,-71,-74,-73,-80,-77,-85,-71,-76,-76,-80,-73,-86,-73,-73,-81,-84,-79,-75,-85,-69,-77,-74,-66,-79,-81,-86,-71,-74,-69,-67,-81,-80,-80,-71,-69,-80,-71,-79,-78,-72,-87,-85,-69,-80,-72,-86,-85,-65,-80,-78,-79,-72,-74,-71,-74,-72,-82,-72,-69,-67,-73,-78,-77,-82,-85,-75,-72,-78,-78,-76,-73,-72,-82,-83,-69,-67,-70,-72,-72,-74,-70,-85,-85,-83,-86,-78,-78,-74,-83,-73,-67,-70,-86,-85,-80,-82,-66,-84,-67,-71,-66,-79,-71,-82,-73,-74,-79,-69,-66,-83,-67,-80,-72,-79,-78,-85,-77,-82,-87,-73,-83,-66,-81,-71,-66,-82,-67,-84,-87,-72,-67,-72,-83,-76,-80,-80,-73,-68,-67,-82,-74,-83,-80,-81,-78,-68,-79,-68,-79,-79,-71,-69,-73,-72,-84,-81,-5632.2944,3444991.8,0.0,-2817,9,-28161
-83,-82,-68,-69,-80,-69,-68,-84,-72,-66,-84,-81,-68,-74,-71,-72,-70,-65,-67,-66,-85,-73,-79,-66,-69,-72,-82,-79,-86,-82,-87,-76,-89,-86,-70,-73,-73,-82,-80,-84,-74,-77,-77,-78,-69,-85,-70,-73,-83,-83,-83,-74,-85,-66,-76,-74,-68,-81,-83,-87,-71,-71,-68,-69,-85,-82,-81,-71,-70,-81,-67,-83,-77,-72,-89,-86,-71,-82,-72,-86,-83,-63,-77,-80,-77,-73,-70,-71,-70,-68,-84,-72,-65,-66,-71,-77,-77,-83,-87,-73,-73,-80,-79,-77,-74,-70,-81,-84,-68,-70,-70,-74,-72,-73,-69,-86,-87,-82,-85,-81,-77,-74,-86,-74,-65,-70,-85,-84,-80,-82,-64,-83,-64,-68,-68,-80,-72,-84,-69,-74,-79,-70,-66,-81,-67,-84,-69,-80,-81,-89,-77,-81,-89,-68,-86,-64,-80,-69,-65,-83,-66,-86,-85,-72,-68,-71,-82,-76,-83,-83,-69,-68,-68,-81,-71,-83,-81,-81,-82,-67,-82,-66,-79,-81,-70,-67,-74,-68,-85,-81,-5631.4663,3444326.8,4.5873947e-36,-2816,9,-28151
-90,-88,-62,-64,-82,-64,-60,-91,-67,-56,-92,-83,-60,-72,-67,-70,-64,-54,-60,-58,-92,-71,-83,-57,-63,-70,-86,-82,-93,-87,-95,-77,-99,-94,-66,-71,-71,-87,-84,-90,-72,-78,-76,-80,-62,-93,-66,-71,-90,-87,-88,-73,-93,-58,-76,-73,-61,-85,-89,-95,-69,-65,-60,-63,-92,-87,-85,-69,-66,-84,-60,-90,-78,-71,-100,-93,-67,-87,-68,-93,-88,-52,-77,-84,-78,-71,-65,-67,-65,-61,-91,-71,-56,-58,-66,-78,-77,-89,-96,-73,-73,-84,-81,-79,-72,-65,-85,-90,-61,-64,-65,-71,-70,-69,-63,-95,-96,-87,-92,-84,-77,-72,-94,-74,-53,-67,-91,-89,-83,-87,-54,-89,-53,-62,-62,-84,-69,-91,-64,-73,-81,-66,-56,-84,-59,-90,-63,-81,-85,-100,-79,-86,-102,-61,-95,-52,-80,-64,-57,-88,-58,-93,-90,-69,-61,-69,-85,-75,-88,-89,-65,-62,-61,-85,-69,-88,-83,-84,-87,-61,-88,-57,-81,-85,-67,-57,-74,-62,-94,-86,-5628.4663,3442935.0,1.7761974e-14,-2815,9,-28141
-85,-84,-65,-67,-80,-66,-65,-86,-71,-62,-87,-82,-66,-73,-70,-71,-68,-61,-64,-64,-86,-73,-81,-62,-66,-72,-84,-81,-89,-84,-89,-77,-92,-88,-69,-72,-73,-83,-80,-87,-72,-77,-76,-79,-68,-88,-70,-72,-85,-85,-83,-74,-88,-64,-76,-73,-65,-81,-84,-90,-70,-70,-65,-66,-86,-83,-82,-70,-68,-81,-66,-84,-78,-72,-93,-88,-69,-83,-70,-89,-86,-60,-78,-80,-78,-72,-70,-69,-69,-67,-87,-72,-63,-63,-70,-78,-77,-85,-90,-74,-73,-81,-79,-77,-73,-69,-83,-86,-66,-66,-68,-72,-72,-72,-67,-89,-89,-85,-88,-81,-77,-73,-88,-74,-61,-69,-88,-87,-81,-84,-61,-86,-61,-67,-65,-81,-71,-87,-68,-73,-80,-68,-62,-83,-64,-85,-68,-80,-81,-92,-78,-84,-93,-67,-88,-60,-80,-68,-62,-84,-63,-88,-88,-71,-65,-71,-84,-76,-83,-84,-69,-66,-65,-83,-71,-85,-82,-82,-82,-65,-83,-64,-79,-82,-69,-63,-73,-67,-88,-83,-5628.4507,3442699.2,2.3833794e-29,-2815,9,-28141
-85,-83,-68,-67,-80,-67,-67,-85,-71,-64,-86,-82,-67,-74,-69,-71,-68,-63,-64,-65,-86,-72,-81,-64,-67,-73,-85,-82,-89,-83,-88,-76,-92,-87,-69,-73,-72,-82,-80,-85,-72,-77,-76,-80,-68,-88,-70,-73,-84,-85,-82,-73,-87,-66,-76,-74,-65,-82,-83,-88,-70,-71,-66,-67,-85,-82,-82,-71,-69,-81,-67,-83,-78,-71,-91,-86,-69,-82,-71,-88,-85,-61,-78,-81,-79,-72,-70,-70,-71,-67,-85,-72,-64,-64,-70,-79,-77,-85,-88,-73,-73,-80,-78,-78,-74,-69,-82,-86,-66,-66,-68,-72,-71,-72,-67,-89,-88,-84,-88,-81,-77,-72,-87,-73,-62,-68,-88,-85,-81,-84,-62,-85,-63,-67,-65,-80,-70,-85,-69,-74,-79,-70,-63,-83,-65,-85,-69,-80,-81,-90,-78,-83,-92,-69,-87,-61,-80,-68,-63,-84,-65,-86,-86,-71,-66,-71,-82,-76,-83,-84,-69,-66,-65,-82,-71,-85,-81,-83,-82,-66,-83,-66,-81,-81,-69,-64,-74,-68,-87,-82,-5628.6616,3442915.2,1.5594947e-31,-2815,9,-28141
-84,-83,-67,-68,-80,-67,-67,-85,-72,-64,-85,-81,-67,-73,-71,-71,-68,-63,-65,-66,-85,-73,-80,-64,-67,-71,-83,-81,-88,-83,-88,-76,-90,-87,-70,-73,-73,-82,-79,-86,-73,-77,-76,-80,-69,-88,-71,-72,-84,-84,-82,-75,-87,-65,-77,-74,-65,-81,-83,-89,-71,-72,-66,-66,-84,-82,-82,-70,-68,-81,-67,-83,-78,-72,-90,-87,-70,-82,-71,-87,-84,-62,-77,-80,-78,-72,-71,-71,-71,-68,-85,-72,-65,-65,-71,-78,-77,-83,-89,-74,-72,-81,-79,-77,-72,-70,-83,-85,-67,-68,-68,-72,-71,-73,-68,-88,-88,-84,-87,-80,-77,-73,-87,-73,-63,-69,-87,-85,-80,-83,-63,-85,-64,-68,-66,-81,-71,-84,-69,-73,-80,-68,-64,-83,-65,-83,-70,-80,-80,-89,-77,-82,-91,-69,-87,-63,-81,-69,-64,-83,-65,-86,-87,-70,-66,-71,-83,-76,-83,-84,-70,-67,-67,-82,-72,-85,-81,-82,-81,-66,-82,-64,-80,-81,-70,-65,-74,-69,-86,-82,-5629.4663,3443434.8,4.150146e-33,-2815,9,-28141
-83,-83,-69,-69,-79,-69,-68,-84,-73,-67,-84,-81,-67,-74,-71,-71,-70,-65,-68,-68,-85,-73,-79,-67,-69,-72,-82,-79,-84,-82,-86,-76,-87,-85,-70,-73,-74,-82,-78,-84,-74,-77,-76,-78,-68,-85,-70,-73,-83,-82,-83,-74,-84,-67,-76,-74,-69,-81,-82,-85,-72,-70,-68,-69,-84,-82,-81,-71,-71,-80,-68,-84,-76,-72,-87,-85,-71,-81,-72,-84,-82,-64,-77,-81,-77,-72,-70,-71,-69,-68,-84,-73,-66,-68,-70,-78,-78,-83,-86,-74,-73,-81,-79,-78,-73,-70,-82,-83,-68,-70,-70,-74,-73,-74,-69,-86,-86,-82,-84,-81,-77,-73,-85,-74,-65,-71,-83,-82,-79,-81,-65,-83,-65,-69,-69,-80,-71,-84,-69,-74,-80,-71,-66,-81,-68,-83,-69,-80,-82,-88,-77,-81,-88,-68,-86,-65,-79,-70,-66,-83,-67,-85,-83,-72,-69,-71,-81,-76,-82,-83,-70,-69,-69,-80,-72,-82,-81,-81,-82,-68,-82,-66,-80,-80,-70,-66,-75,-69,-85,-80,-5628.0835,3442306.2,2.3024744e-37,-2815,9,-28141
-82,-83,-69,-68,-80,-69,-69,-83,-73,-66,-83,-82,-69,-74,-72,-71,-70,-66,-67,-68,-83,-73,-79,-67,-69,-72,-82,-80,-85,-81,-86,-75,-87,-86,-70,-73,-74,-81,-78,-85,-73,-77,-76,-79,-70,-85,-71,-72,-82,-83,-81,-74,-85,-67,-77,-74,-68,-80,-82,-85,-71,-72,-69,-68,-83,-81,-81,-70,-70,-80,-68,-81,-77,-72,-88,-85,-71,-80,-73,-84,-83,-64,-77,-79,-78,-73,-71,-71,-72,-70,-83,-72,-68,-67,-71,-79,-79,-82,-86,-74,-72,-79,-78,-77,-72,-71,-81,-84,-68,-69,-70,-74,-73,-73,-69,-86,-86,-82,-84,-79,-77,-73,-84,-74,-66,-70,-84,-83,-80,-82,-66,-84,-65,-69,-68,-80,-71,-83,-71,-74,-79,-70,-65,-82,-68,-83,-71,-80,-81,-87,-77,-81,-88,-70,-84,-65,-80,-69,-67,-83,-66,-85,-84,-72,-68,-72,-81,-76,-81,-82,-71,-68,-69,-81,-72,-83,-80,-81,-80,-68,-82,-67,-80,-80,-71,-68,-75,-69,-85,-81,-5628.0835,3442481.8,2.7084796e-38,-2815,9,-28141
-83,-82,-70,-70,-80,-70,-68,-84,-72,-68,-82,-80,-69,-76,-70,-71,-70,-66,-67,-67,-85,-72,-80,-67,-69,-72,-83,-81,-85,-82,-85,-76,-87,-84,-71,-73,-73,-82,-79,-83,-75,-78,-76,-79,-69,-84,-71,-73,-82,-82,-82,-73,-85,-68,-77,-75,-68,-81,-82,-84,-72,-71,-68,-70,-82,-80,-81,-71,-71,-79,-68,-83,-77,-71,-87,-84,-72,-80,-73,-84,-82,-64,-76,-81,-77,-73,-71,-72,-72,-69,-83,-74,-66,-68,-71,-79,-78,-83,-85,-73,-73,-80,-78,-78,-73,-70,-81,-84,-69,-70,-70,-74,-71,-73,-69,-86,-85,-82,-85,-81,-76,-72,-85,-73,-65,-70,-84,-81,-79,-81,-66,-83,-66,-69,-68,-80,-72,-83,-69,-75,-79,-72,-66,-82,-68,-83,-70,-80,-81,-87,-77,-81,-88,-70,-85,-65,-79,-69,-66,-82,-69,-83,-83,-71,-69,-71,-80,-75,-83,-84,-70,-69,-69,-81,-72,-83,-80,-82,-82,-68,-82,-67,-81,-80,-70,-67,-74,-69,-84,-81,-5628.3022,3442770.5,0.0,-2815,9,-28141
